full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,salary
Aaron Cresswell,32,2016/2017,Defender,West Ham United,2117,940,1177,England,26,12,14,0,0,0,2,0,2,0,0,7,5,2,33,17,16,4,1,0.09,0.09,0.0,0.0,0.0,0,1.4,64,81,529,1059,0.17,293,160,95,26,2600000
Aaron Lennon,35,2016/2017,Midfielder,Everton,509,302,207,England,11,6,5,0,0,0,1,0,1,0,0,4,2,2,4,2,2,0,0,0.18,0.18,0.0,0.0,0.0,0,0.71,127,46,0,509,0.0,330,70,-1,25,2600000
Aaron Ramsey,31,2016/2017,Midfielder,Arsenal,1229,518,711,Wales,23,12,11,1,1,0,4,0,4,0,0,8,6,2,19,6,13,3,0,0.37,0.29,0.07,0.17,0.0,1229,1.39,65,53,410,307,0.22,187,21,-1,13,5720000
Abdoulaye Doucouré,29,2016/2017,Midfielder,Watford,1358,707,651,France,20,11,9,1,1,0,0,0,0,0,0,4,4,0,31,13,18,4,0,0.07,0.0,0.07,0.13,0.0,1358,2.05,44,68,340,0,0.27,186,393,-1,12,1040000
Adam David Lallana,34,2016/2017,Midfielder,Liverpool,2349,1149,1200,England,31,15,16,8,5,3,7,5,2,0,0,9,5,4,31,11,20,3,0,0.57,0.27,0.31,0.39,0.23,294,1.19,76,76,783,336,0.11,51,29,-1,4,3042000
Adam Smith,31,2016/2017,Defender,AFC Bournemouth,3099,1642,1457,England,36,19,17,1,1,0,5,5,0,0,0,9,6,3,55,27,28,6,0,0.17,0.15,0.03,0.05,0.0,3099,1.6,56,86,517,620,0.17,258,96,132,10,1124500
Ademola Lookman,24,2016/2017,Forward,Everton,287,131,156,England,8,4,4,1,1,0,0,0,0,0,0,5,2,3,2,2,0,0,0,0.31,0.0,0.31,0.69,0.0,287,0.63,144,36,0,0,0.0,52,261,-1,13,1076400
Adnan Januzaj,27,2016/2017,Midfielder,Sunderland,1630,901,729,Belgium,25,12,13,0,0,0,3,0,3,0,0,3,2,1,36,21,15,5,1,0.17,0.17,0.0,0.0,0.0,0,1.99,45,65,326,543,0.28,418,83,-1,23,2496000
Adrian Mariappa,35,2016/2017,Defender,Watford,561,201,360,Jamaica,7,3,4,0,0,0,0,0,0,0,0,2,2,0,12,1,11,0,0,0.0,0.0,0.0,0.0,0.0,0,1.93,47,80,0,0,0.0,299,274,156,17,364000
Ahmed Musa,29,2016/2017,Forward,Leicester City,753,317,436,Nigeria,21,8,13,2,1,1,0,0,0,0,0,2,1,1,18,8,10,1,0,0.24,0.0,0.24,0.28,0.21,377,2.15,42,36,753,0,0.12,77,352,-1,9,3380000
Alberto Moreno,30,2016/2017,Defender,Liverpool,295,27,268,Spain,12,5,7,0,0,0,1,0,1,0,0,3,2,1,7,0,7,1,0,0.31,0.31,0.0,0.0,0.0,0,2.14,42,25,295,295,0.31,384,18,164,21,2080000
Aleix García,25,2016/2017,Midfielder,Manchester City,75,19,56,Spain,4,2,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.2,75,19,0,0,0.0,-1,-1,-1,23,260000
Aleksandar Kolarov,36,2016/2017,Defender,Manchester City,2533,1291,1242,Serbia,29,15,14,1,0,1,1,0,1,0,0,9,4,5,25,11,14,6,0,0.07,0.04,0.04,0.0,0.07,2533,0.89,101,87,422,2533,0.21,239,227,31,15,3588000
Alex Iwobi,26,2016/2017,Forward,Arsenal,1462,814,648,Nigeria,26,15,11,3,3,0,3,1,2,0,0,8,6,2,19,8,11,1,0,0.37,0.18,0.18,0.33,0.0,487,1.17,77,56,1462,487,0.06,101,72,-1,5,1560000
Alex Oxlade-Chamberlain,29,2016/2017,Midfielder,Arsenal,1562,538,1024,England,29,12,17,2,1,1,7,4,3,0,0,9,5,4,21,4,17,1,0,0.52,0.4,0.12,0.17,0.09,781,1.21,74,54,1562,223,0.06,147,11,-1,6,3380000
Alexis Sanchez,33,2016/2017,Forward,Arsenal,3223,1595,1628,Chile,38,19,19,24,9,15,10,5,5,2,1,13,9,4,39,14,25,6,0,0.95,0.28,0.67,0.51,0.83,134,1.09,83,85,537,322,0.17,7,24,-1,1,7280000
Alfie Mawson,28,2016/2017,Defender,Swansea City,2430,1260,1170,England,27,14,13,4,2,2,0,0,0,0,0,7,6,1,41,18,23,1,0,0.15,0.0,0.15,0.14,0.15,608,1.52,59,90,2430,0,0.04,123,264,117,4,1300000
Allan Nyom,34,2016/2017,Defender,West Bromwich Albion,2638,1293,1345,Cameroon,32,16,16,0,0,0,2,1,1,0,0,4,3,1,38,14,24,8,0,0.07,0.07,0.0,0.0,0.0,0,1.3,69,82,330,1319,0.27,313,191,76,15,1820000
Álvaro Negredo Sánchez,37,2016/2017,Forward,Middlesbrough,2880,1571,1309,Spain,36,19,17,9,6,3,4,1,3,2,0,11,7,4,42,20,22,5,0,0.41,0.13,0.28,0.34,0.21,320,1.31,69,80,576,720,0.16,60,109,-1,1,7280000
